designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 1348104197430849280",1348104197430849280,259.8681972582434,42.254904472104265,7.241379221726147,12.204431143871965,-56.227849556123026,0.9895419,3.3110237,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3128.9011,5.0735,-0.3139,140.671,1.0536,0.6362,0.4433
"Gaia DR3 1348112821724704768",1348112821724704768,259.43463209479245,42.2511198157026,6.269191725443209,5.7769374336352435,-14.444943533056447,1.0494803,2.8736534,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1348113788093481856",1348113788093481856,259.5752836218221,42.273679925939675,5.737909097032753,26.535317852532934,62.29772699606015,1.4399554,3.0056038,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 1348119281356064256",1348119281356064256,259.8886063796837,42.4153597224859,5.949599401140248,-11.766334999154662,23.531049906681645,1.0415076,2.4379168,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3518.2283,4.9354,-0.4939,168.1318,0.773,0.5134,0.311
"Gaia DR3 1348119281356151040",1348119281356151040,259.89067077380207,42.41675039777103,5.995010754515938,-11.214669443418597,23.575548472238744,0.99972165,3.1415863,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1348199275122214784",1348199275122214784,260.0848367052389,42.344753706015894,7.888014848753659,24.800504403731406,-28.220038277699672,3.1143425,1.8523331,-37.93965,"NOT_AVAILABLE",1,true,true,false,false,false,false,true,4237.768,4.5154,0.3959,123.4832,0.7328,0.5285,0.2862
"Gaia DR3 1348201298051268224",1348201298051268224,260.1745772891181,42.48548839980619,6.908188003748306,-64.27278101755263,68.90831725426543,0.98382944,3.2436047,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3077.1619,5.0591,-0.1978,149.2999,0.8902,0.5314,0.3805
"Gaia DR3 1348202260123969664",1348202260123969664,260.30053180649105,42.506783634174084,5.99663277987806,-1.1655203358139257,-1.6844534986014068,1.0698225,2.9154701,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3224.2524,4.99,-0.1594,166.6491,0.8045,0.4996,0.3386
"Gaia DR3 1348203226492127360",1348203226492127360,260.3261192526981,42.56086527714872,6.527749474249087,25.36409068421867,-52.653601271820975,1.0155218,2.667776,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3454.8125,4.864,-0.1444,153.5595,0.8682,0.5641,0.3568
"Gaia DR3 1348219925324997248",1348219925324997248,260.3046729987307,42.73060053807648,6.130357005032874,-2.982238499448501,-2.754101101113386,1.1110829,3.1608696,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3214.9097,4.9282,0.0556,166.7509,1.0359,0.635,0.4398
"Gaia DR3 1354157253755685632",1354157253755685632,258.57009378693454,42.32143692924398,5.277327451291707,-58.488507565882074,-36.22823665746793,1.288205,2.540988,-21.61622,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3467.7146,4.4846,-0.3604,189.2775,0.6731,0.4417,0.2789
"Gaia DR3 1354363304810086272",1354363304810086272,258.4208797777068,42.55144701822965,5.521360581978336,-15.824009245024197,5.035360580657215,0.98492026,2.862358,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1354362312673806720",1354362312673806720,258.2621260367448,42.51709675768322,8.25268187552386,-3.3906397435955737,54.65788813507227,1.0578648,1.6260853,-25.178713,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4324.5156,4.6606,0.1413,121.1829,0.4352,0.322,0.1707
"Gaia DR3 1354365164530582144",1354365164530582144,258.5226624536517,42.68083256304413,6.758621369047244,-21.38728727562333,-88.48824993174915,0.95646536,1.2451687,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1354365164532078976",1354365164532078976,258.52397354877087,42.68059418676018,6.797487601016344,-21.291917110377458,-87.92168122713113,1.1448205,1.4267273,19.084217,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1354373926265405696",1354373926265405696,258.18803873469693,42.68681844256792,9.199815450588998,-18.416679085407967,-34.16745491887643,1.0842131,1.9680862,9.770218,"VARIABLE",0,true,true,false,true,false,true,true,3948.0583,4.7019,0.0,108.3508,0.5619,0.3967,0.2203
"Gaia DR3 1354378118153501440",1354378118153501440,258.16731404908563,42.77575632357688,5.14562620174666,1.4477014107612058,-27.946144004309332,1.20309,2.4982119,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3532.038,4.5655,-0.3056,193.0281,0.7987,0.5281,0.3268
"Gaia DR3 1354381451048216832",1354381451048216832,258.44400504529864,42.79684801360445,6.011854004755314,-68.21265214589062,22.28778508606409,1.0433224,2.5948582,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3443.5063,4.6487,-0.547,164.4301,0.8529,0.5577,0.348
"Gaia DR3 1354426634104100608",1354426634104100608,258.09058517486136,42.8625822628063,7.393110995300594,4.215508675949206,-44.13761476083328,1.0544641,2.9830322,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3339.3054,4.8393,0.0348,135.5761,1.1348,0.7127,0.4743
"Gaia DR3 1354430551114289920",1354430551114289920,258.03625131851726,42.92845597963613,6.07942504245115,-21.05891486426096,-16.725731080889087,1.4316452,2.0855007,-4.318811,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1354431169589654272",1354431169589654272,258.1071441554516,42.99473174278911,6.0781137785415,36.759857959719746,-44.61528242102568,0.94893914,2.9999962,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3199.0225,5.0465,-0.5033,163.5372,0.7324,0.4554,0.3049
"Gaia DR3 1354432097302486912",1354432097302486912,258.23986797398095,42.90735592529324,5.2486279583332465,17.5170924700303,-20.028271879222835,1.0820055,2.1407433,-20.516443,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3744.4834,4.6915,-0.1572,190.5229,0.5256,0.362,0.2099
"Gaia DR3 1354436220471188864",1354436220471188864,258.22176559785134,42.97838280463112,9.230044979745356,-110.47168829214202,-11.160444935937832,1.0717912,2.1887417,-42.028763,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,3680.6086,4.6238,-0.2575,108.2124,0.4865,0.3327,0.196
"Gaia DR3 1354436357910142080",1354436357910142080,258.2645162783566,43.01408810860846,7.173544941134861,-17.689087642794327,26.769984622910265,2.7781978,0.97541714,-21.473509,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5193.9697,4.326,-0.5005,138.6167,7.0E-4,6.0E-4,3.0E-4
"Gaia DR3 1354438449561209728",1354438449561209728,258.4041564410931,43.09607311491028,5.091367434598765,18.45995217144144,5.311482167033422,1.0623679,2.8340664,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1354444191930501760",1354444191930501760,258.0232083126101,43.05856053308444,6.502123544096206,-18.795823374297182,-5.019697699804264,1.0489638,2.3237333,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3591.191,4.9574,-0.5915,152.2466,0.722,0.4871,0.2875
"Gaia DR3 1354448899214711936",1354448899214711936,258.14101016908705,43.03993730569003,5.363545749605838,19.408395976988295,12.906035115713815,0.99074197,1.2373104,-10.738491,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4660.753,4.5614,-0.054,186.6945,0.0382,0.0296,0.0156
"Gaia DR3 1354450647265192704",1354450647265192704,258.22874884128953,43.15594931438299,5.3066412504338345,9.70364846006237,10.244460885992481,0.9468833,0.93073654,48.367283,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5437.649,4.592,-0.2801,187.1586,0.0989,0.0816,0.0437
"Gaia DR3 1354455423269730688",1354455423269730688,258.2847295354326,43.22865497373081,7.457853210044768,-52.36872001878455,43.95038455088721,0.96709484,0.7095394,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1354456046040249088",1354456046040249088,258.35483704010335,43.294740059159025,15.515096197424052,-12.449493628815748,-88.82494129850585,1.112584,2.6023712,-11.649169,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1360097708921947776",1360097708921947776,259.190135234563,42.16236831943963,21.00773022291229,-33.130443367275994,52.0042502394618,1.0828053,1.0629845,-17.212172,"VARIABLE",0,true,true,false,true,false,true,true,4993.256,4.5344,-0.1144,47.5625,1.0E-4,0.0,0.0
"Gaia DR3 1360097773344574592",1360097773344574592,259.1863576972982,42.175681638830184,5.447142006596275,-26.13928647380717,-51.27181273226756,1.0481956,1.0208197,7.0134716,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5260.3164,4.6201,-0.0851,182.3754,0.1492,0.1211,0.0643
"Gaia DR3 1360099628770444288",1360099628770444288,259.25941852556224,42.23667176109984,21.051437898228187,-32.41013054194631,52.206098288143195,2.754627,2.437581,-17.1667,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1360100698219201280",1360100698219201280,259.081267598899,42.17299568952356,5.08306969145503,-24.414221730822092,-73.82091200359488,1.0166112,3.2910843,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1360107295288989696",1360107295288989696,258.9060028216416,42.18023654035757,5.767410090923475,-17.3046463123097,-58.80284570368345,0.9831234,2.2297325,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3690.0103,4.7705,-0.2443,172.3926,0.639,0.4358,0.2557
"Gaia DR3 1360107467087674880",1360107467087674880,258.97020291836753,42.18673300230243,8.137638564114564,6.790501775060864,13.159404863353785,1.0628767,3.59243,,"NOT_AVAILABLE",0,true,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1360113239523748608",1360113239523748608,258.9261917279129,42.365739811472515,5.492664235996742,-1.7314650672730798,12.78026882078396,1.0240449,2.6113405,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3443.461,4.8582,-0.1269,181.8781,0.6961,0.4532,0.2878
"Gaia DR3 1360113784982850816",1360113784982850816,259.0399417491645,42.25819857846609,5.503030978990493,2.102917574493434,-50.220904259038065,0.98657596,2.6892414,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3320.1885,4.9778,-0.516,180.8245,0.6742,0.432,0.2775
"Gaia DR3 1360117397052152832",1360117397052152832,259.24351882951913,42.43513819999081,6.661787348970159,-35.02982358030151,24.69097587817054,0.7694785,0.99403286,-52.521526,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5215.565,4.5031,0.1121,150.1799,0.0209,0.017,0.009
"Gaia DR3 1360124505221018112",1360124505221018112,259.56107234551433,42.339935835210916,8.872399231902023,26.22156674486559,-4.22479498743296,1.3012972,2.318552,34.74464,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,3572.5518,4.6555,-0.3018,113.5263,0.4998,0.3358,0.2042
"Gaia DR3 1360126742900971776",1360126742900971776,259.3649207118121,42.33996627884983,9.22558343482499,8.292092762917683,15.72934868536279,1.0759106,2.5419436,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3466.3862,4.8883,-0.5425,108.3838,0.7989,0.5257,0.3231
"Gaia DR3 1360127563239079808",1360127563239079808,259.435850015084,42.41788255056662,7.4306365470837425,6.525829786244204,-35.967785706788945,1.003317,3.2098064,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1360129938357330816",1360129938357330816,259.6474324710997,42.55383720952458,5.02578371279247,32.75962881937445,57.160868739467446,0.97612345,3.3459854,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,3244.66,4.598,0.1726,218.7906,1.3938,0.8458,0.6032
"Gaia DR3 1360133133810720512",1360133133810720512,259.7859670402075,42.56666281878158,14.813849914161972,-13.66464031470894,93.1134844919138,0.9772136,3.6611004,,"NOT_AVAILABLE",0,true,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1360139833961363712",1360139833961363712,259.94743005243106,42.798167401205816,13.409287856265822,-0.5127875033258409,75.40386358398762,0.8877101,0.84275055,-22.107811,"VARIABLE",0,true,true,false,true,false,true,true,5798.128,4.5378,-0.006,74.4613,0.1247,0.1045,0.0559
"Gaia DR3 1360143922770250240",1360143922770250240,259.60363575329984,42.66769905409972,6.008594184857826,-59.443604828084574,-66.14439847826694,1.0398511,2.4981384,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3493.8457,4.8792,-0.2273,166.2925,0.6387,0.4213,0.2618
"Gaia DR3 1360144502589284864",1360144502589284864,259.371064185908,42.57578955813796,5.13969787972132,-4.677313718504482,-1.4254563641518558,0.98306614,2.6073828,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3457.0552,4.8489,-0.1282,193.5136,0.7519,0.49,0.3101
"Gaia DR3 1360146186218968192",1360146186218968192,259.3728279503602,42.637714089744655,5.462472868786065,-31.547676548394577,-32.08409546675633,0.9480589,3.2450027,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1360154608648898944",1360154608648898944,259.6689030661321,42.82965437963421,5.492033769577605,20.890724459967213,-10.875961886990057,1.0137734,2.792038,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3325.1008,4.7995,-0.4753,180.2592,0.8022,0.5124,0.3319
"Gaia DR3 1360158216421280768",1360158216421280768,258.78706738115795,42.312121096631124,25.458598441013425,188.1287256616902,-25.886375397013545,1.0863186,2.6711664,-40.399704,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,3185.593,4.5266,-1.0435,39.3397,0.0975,0.0623,0.0407
"Gaia DR3 1360158560018674816",1360158560018674816,258.6521231586002,42.271135673999204,7.617235607291848,-14.470801248867467,45.078937942592,1.032899,3.2636623,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3109.4778,5.0313,-0.142,137.6957,1.2852,0.7672,0.5427
"Gaia DR3 1355198972302736384",1355198972302736384,257.9400345962688,43.15283060009652,5.190662443561737,51.04706258776292,43.96164445309978,1.0261518,2.516941,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3509.5938,4.7929,0.0153,195.8396,0.6153,0.4047,0.2548
"Gaia DR3 1360162717547023616",1360162717547023616,258.74025960572686,42.40597271363926,8.734356416627518,23.656307886332925,23.533011340744366,1.0352173,2.7558508,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3354.171,4.9914,-0.3354,115.3537,0.8567,0.5485,0.3524
"Gaia DR3 1360163198583364352",1360163198583364352,258.6997384843548,42.42119706411603,6.1810777184857555,-30.235567218121567,-6.592991033005273,0.8983893,3.1679764,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3165.6716,5.007,-0.1335,168.9209,0.8855,0.541,0.3748
"Gaia DR3 1355203232910297600",1355203232910297600,257.9658357633031,43.26072952267523,24.51569664150853,-112.1973777107422,-184.41294096380648,1.2140996,1.0681362,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1355203232910297728",1355203232910297728,257.9659494524446,43.26132107151745,24.54811601877047,-101.07548312638237,-185.80735600349135,1.3406694,2.2732248,-17.656313,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1355206836387212160",1355206836387212160,258.1043789368382,43.3394775245209,10.431968985288822,-20.019856142187063,9.67822888763618,1.1697512,2.9125328,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3272.921,4.9675,-0.4001,98.1245,0.9092,0.5719,0.3766
"Gaia DR3 1355208902267159680",1355208902267159680,258.2078627693562,43.39949907993828,7.618228687330408,-52.62865714613078,-65.19052271862637,1.0812099,1.994379,-45.224888,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,3876.8503,4.5916,-0.0441,131.0494,0.4617,0.3239,0.1825
"Gaia DR3 1360171960316701568",1360171960316701568,258.98897834370166,42.61767489396669,17.49779325222684,-41.79004998947547,27.043487487617075,1.2305249,2.7732744,-22.99732,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1355209894403577728",1355209894403577728,258.1227334747285,43.37042589554366,9.235262799856129,-54.33774974735507,-31.216547860233703,20.93937,1.5421238,-27.109108,"NOT_AVAILABLE",1,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1360173192970270976",1360173192970270976,259.1124846006155,42.65644958478436,14.098644855646524,-4.315200928166062,55.41452723850523,1.1292505,1.7651806,-27.39386,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4134.6465,4.6139,9.0E-4,71.0785,0.4492,0.3258,0.1756
"Gaia DR3 1360176495802119040",1360176495802119040,258.60583324644665,42.5079927047078,5.341848946284889,16.535636345614424,-5.74645332409664,1.5888953,1.2736025,-9.405535,"NOT_AVAILABLE",1,true,true,false,false,false,true,true,4656.354,4.5711,0.0264,186.5088,0.1073,0.0831,0.0437
"Gaia DR3 1360177079917670528",1360177079917670528,258.70316637004123,42.570381637297395,6.452169790406786,41.11469077335124,-36.52773428402449,3.5247133,1.7218533,4.967759,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 1360177079917670784",1360177079917670784,258.7035917237529,42.57085281354467,6.182282588326244,40.604367359214265,-36.92177970793141,1.0548778,1.0616045,5.641091,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5045.345,4.3292,-0.0579,160.2875,0.002,0.0016,8.0E-4
"Gaia DR3 1360179343364098176",1360179343364098176,258.89243486125014,42.68383384905564,5.23431384205069,0.6443744779074603,-0.8421274876692313,1.0832224,2.839056,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3321.5396,5.0305,-0.4167,188.7488,0.7994,0.5097,0.3289
"Gaia DR3 1360183195949487488",1360183195949487488,258.80269949026575,42.73467913235034,15.220775046956943,49.921413929737376,-51.41707783387117,1.1045887,3.6896076,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,2888.0466,5.1504,-0.3012,69.1113,0.033,0.019,0.0147
"Gaia DR3 1355224875250131968",1355224875250131968,258.11118118076274,43.569060572913436,6.013683330038953,-40.24161070054311,-1.3030641214972798,1.0372366,3.417181,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3072.38,5.0902,-0.3075,164.5658,1.0987,0.6529,0.4654
"Gaia DR3 1355225772898704384",1355225772898704384,258.32710802983746,43.60325077091987,14.644762807047925,31.761786058790715,-122.78662140795782,1.109521,2.257084,0.11326497,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,3467.9297,4.3802,-1.1902,68.5975,0.4203,0.284,0.1665
"Gaia DR3 1355227898907144960",1355227898907144960,258.10262479738026,43.598743468204965,6.74780728237558,-75.23933205903302,14.27820326891641,2.0021472,1.612505,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 1355227903201565568",1355227903201565568,258.1026331685799,43.59889857505882,6.756994692904677,-74.07140371517534,12.439431066139402,1.9829948,1.484087,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 1355230475887667200",1355230475887667200,258.28382675453213,43.73319337419388,7.047873305692773,41.502475928036745,-50.86783535558995,1.0510601,3.023178,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3286.7834,4.9856,-0.2273,143.097,1.1015,0.6898,0.4562
"Gaia DR3 1355231064298433408",1355231064298433408,258.214895374007,43.74693360166054,9.266294257791944,-1.2358976245584437,-147.84243401142655,1.1271858,2.2811918,-24.197874,"VARIABLE",0,true,true,false,true,false,true,true,3530.4155,4.639,-0.5999,108.1373,0.3938,0.2653,0.1601
"Gaia DR3 1360191923324889984",1360191923324889984,259.07123351749823,42.91453837541458,13.279890641328269,59.01616303805979,49.95675210287231,11.084096,2.004428,-18.258133,"VARIABLE",1,true,true,false,true,false,false,true,,,,,,,
"Gaia DR3 1360193194635101184",1360193194635101184,259.37596777024874,42.67616920440829,12.874673047262313,-49.32882200527694,91.33022112922356,0.965272,1.3686705,-66.379555,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4596.315,4.5996,0.2314,77.1441,0.1261,0.0961,0.0503
"Gaia DR3 1360195977773912576",1360195977773912576,259.4562991070497,42.780971033110454,6.0088271900056816,-31.74947215339059,61.69537504838253,0.9013891,1.0783682,-18.069777,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4932.597,4.3324,-0.1736,165.3785,0.001,8.0E-4,4.0E-4
"Gaia DR3 1360196939846587136",1360196939846587136,259.57237420686806,42.88626700213277,7.195063267661525,-0.6468599728045339,-34.42654700951791,1.18126,0.77547646,-16.67545,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5851.526,4.3076,0.1474,138.4101,0.0058,0.0049,0.0026
"Gaia DR3 1360200478899655040",1360200478899655040,259.4626564918551,42.89660081386146,8.16701771849214,40.318210488172966,17.64611423074771,2.463062,1.9413319,-6.3406096,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1360206320055273472",1360206320055273472,259.61427587285993,42.97898732225556,7.17884335504068,-30.914414855911456,-16.45911959962118,10.613518,2.8204432,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 1360210683741973888",1360210683741973888,259.2956877156632,42.879866021730614,6.973491614998567,25.192847249193726,6.3231919728725385,0.98931277,2.935978,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1360216181300164224",1360216181300164224,259.26848627035787,43.025019024750534,7.928106085443711,19.615269425390466,-50.53395829077818,1.0157468,2.5235043,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3517.1082,4.8196,-0.112,125.8345,0.7493,0.4935,0.3069
"Gaia DR3 1360217246452019840",1360217246452019840,259.41427057415734,43.07158418114543,11.640868210175407,-16.889735027672966,251.40606744427714,0.9891099,2.8370485,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3290.0056,4.9923,-0.5091,88.1134,0.7672,0.4871,0.3161
"Gaia DR3 1360219308036293760",1360219308036293760,259.55454256236925,43.04654363054443,6.650564742702644,10.296244208302296,-100.82419951423446,1.014774,2.378395,1.9372423,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3612.3518,4.7613,-0.023,149.4435,0.6455,0.4326,0.2624
"Gaia DR3 1360223912241795712",1360223912241795712,259.581554296614,43.178875796527294,7.295891955455877,16.42913955532663,13.84102254750091,1.2045236,2.5480623,-3.5686576,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3509.85,4.8012,-0.0187,137.4517,0.7493,0.4918,0.3083
"Gaia DR3 1360231368302279808",1360231368302279808,260.2071515805721,42.82081338643628,11.719615870892753,17.308976379584482,1.7141900535053232,1.0709599,3.4060402,,"NOT_AVAILABLE",0,true,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1360234529399527424",1360234529399527424,260.1656339137725,42.851205489667784,5.655253199260891,-32.093649247929164,13.361502879067595,1.0497866,2.0386057,-29.83747,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,3886.094,4.6708,0.0016,176.0018,0.5981,0.4183,0.2356
